"workerId","response","true_category","experiment","stimuli","width","height","hitId","time","stimuliTraining","true_category_training","nasa1","nasa2","nasa3","nasa4","nasa5","nasa6"
"AQVXVMX61864S","2","1","Face","true-false-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","false-true-false","2","2","2","5","1","4","5"
"AQVXVMX61864S","1","2","Face","true-false-false","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-true-false","1","2","2","5","1","4","5"
"AQVXVMX61864S","2","1","Face","true-true-false","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","false-true-false","1","2","2","5","1","4","5"
"AQVXVMX61864S","2","1","Face","true-true-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","false-true-true","1","2","2","5","1","4","5"
"AQVXVMX61864S","1","1","Face","true-true-false","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","false-true-false","2","2","2","5","1","4","5"
"AQVXVMX61864S","1","1","Face","true-true-false","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","false-false-true","2","2","2","5","1","4","5"
"AQVXVMX61864S","2","1","Face","false-true-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-false-false","2","2","2","5","1","4","5"
"AQVXVMX61864S","2","2","Face","false-false-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-false-true","1","2","2","5","1","4","5"
"AQVXVMX61864S","2","1","Face","false-true-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-false-false","2","2","2","5","1","4","5"
"AQVXVMX61864S","1","1","Face","true-false-false","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-true-true","1","2","2","5","1","4","5"
"AQVXVMX61864S","1","2","Face","false-true-false","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-false-true","1","2","2","5","1","4","5"
"AQVXVMX61864S","2","2","Face","true-false-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-true-true","1","2","2","5","1","4","5"
"AQVXVMX61864S","2","1","Face","true-true-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-true-true","1","2","2","5","1","4","5"
"AQVXVMX61864S","2","2","Face","false-false-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","false-true-false","2","2","2","5","1","4","5"
"AQVXVMX61864S","1","2","Face","true-false-false","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","false-true-true","1","2","2","5","1","4","5"
"AQVXVMX61864S","1","2","Face","true-true-false","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","false-false-true","1","2","2","5","1","4","5"
"AQVXVMX61864S","2","1","Face","false-true-false","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-false-true","2","2","2","5","1","4","5"
"AQVXVMX61864S","2","1","Face","true-true-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-true-true","2","2","2","5","1","4","5"
"AQVXVMX61864S","1","2","Face","true-false-false","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","false-true-false","2","2","2","5","1","4","5"
"AQVXVMX61864S","2","1","Face","true-true-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","false-true-false","2","2","2","5","1","4","5"
"AQVXVMX61864S","2","2","Face","false-false-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","false-true-true","2","2","2","5","1","4","5"
"AQVXVMX61864S","2","1","Face","true-true-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","false-true-false","1","2","2","5","1","4","5"
"AQVXVMX61864S","1","1","Face","true-false-false","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","false-false-true","2","2","2","5","1","4","5"
"AQVXVMX61864S","2","1","Face","false-false-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","false-true-false","2","2","2","5","1","4","5"
"AQVXVMX61864S","1","1","Face","true-true-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","false-false-true","2","2","2","5","1","4","5"
"AQVXVMX61864S","2","2","Face","true-true-false","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","false-false-true","2","2","2","5","1","4","5"
"AQVXVMX61864S","2","2","Face","true-false-false","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","false-true-true","2","2","2","5","1","4","5"
"AQVXVMX61864S","2","2","Face","false-false-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-true-true","1","2","2","5","1","4","5"
"AQVXVMX61864S","1","2","Face","false-true-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-true-true","1","2","2","5","1","4","5"
"AQVXVMX61864S","1","1","Face","false-true-false","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-false-false","2","2","2","5","1","4","5"
"AQVXVMX61864S","2","2","Face","false-true-false","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-true-false","1","2","2","5","1","4","5"
"AQVXVMX61864S","2","1","Face","true-true-false","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","false-true-false","2","2","2","5","1","4","5"
"AQVXVMX61864S","2","1","Face","true-true-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","false-false-true","2","2","2","5","1","4","5"
"AQVXVMX61864S","1","1","Face","true-false-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-false-true","1","2","2","5","1","4","5"
"AQVXVMX61864S","1","2","Face","false-false-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","false-true-false","2","2","2","5","1","4","5"
"AQVXVMX61864S","2","1","Face","true-true-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-true-true","1","2","2","5","1","4","5"
"AQVXVMX61864S","1","2","Face","false-false-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-false-false","2","2","2","5","1","4","5"
"AQVXVMX61864S","2","1","Face","true-true-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","false-false-true","2","2","2","5","1","4","5"
"AQVXVMX61864S","2","1","Face","true-true-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-true-true","1","2","2","5","1","4","5"
"AQVXVMX61864S","1","2","Face","false-true-false","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","false-true-true","1","2","2","5","1","4","5"
"AQVXVMX61864S","2","2","Face","false-true-false","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-true-false","2","2","2","5","1","4","5"
"AQVXVMX61864S","2","2","Face","false-true-false","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-false-false","2","2","2","5","1","4","5"
"AQVXVMX61864S","1","1","Face","true-true-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","false-true-true","2","2","2","5","1","4","5"
"AQVXVMX61864S","2","2","Face","true-false-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-false-false","1","2","2","5","1","4","5"
"AQVXVMX61864S","2","1","Face","true-true-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-true-true","1","2","2","5","1","4","5"
"AQVXVMX61864S","1","1","Face","true-false-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-false-false","2","2","2","5","1","4","5"
"AQVXVMX61864S","2","1","Face","true-false-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-true-true","1","2","2","5","1","4","5"
"AQVXVMX61864S","2","2","Face","false-false-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-true-true","1","2","2","5","1","4","5"
"AQVXVMX61864S","1","2","Face","false-true-false","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-false-false","2","2","2","5","1","4","5"
"AQVXVMX61864S","1","1","Face","false-true-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-true-true","1","2","2","5","1","4","5"
"AQVXVMX61864S","2","2","Face","true-false-false","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-true-true","1","2","2","5","1","4","5"
"AQVXVMX61864S","2","1","Face","true-true-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-false-false","1","2","2","5","1","4","5"
"AQVXVMX61864S","1","2","Face","true-false-false","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-false-true","2","2","2","5","1","4","5"
"AQVXVMX61864S","1","2","Face","true-false-false","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","false-false-true","2","2","2","5","1","4","5"
"AQVXVMX61864S","2","2","Face","false-false-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-true-true","1","2","2","5","1","4","5"
"AQVXVMX61864S","2","1","Face","true-true-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-false-false","2","2","2","5","1","4","5"
"AQVXVMX61864S","1","1","Face","true-true-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-true-true","1","2","2","5","1","4","5"
"AQVXVMX61864S","2","1","Face","false-true-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","false-true-false","2","2","2","5","1","4","5"
"AQVXVMX61864S","2","2","Face","false-true-false","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-true-true","1","2","2","5","1","4","5"
"AQVXVMX61864S","1","2","Face","false-true-false","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-false-true","1","2","2","5","1","4","5"
"AQVXVMX61864S","2","1","Face","true-true-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","false-true-false","2","2","2","5","1","4","5"
"AQVXVMX61864S","1","2","Face","false-true-false","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-false-true","1","2","2","5","1","4","5"
"AQVXVMX61864S","2","1","Face","true-true-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-true-true","1","2","2","5","1","4","5"
"AQVXVMX61864S","2","1","Face","true-true-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","false-true-true","1","2","2","5","1","4","5"
"AQVXVMX61864S","2","1","Face","false-true-true","1920","1080","31ANT7FQN925PG63JOOOAL0B7WMH5N","246.8180000782013","true-false-true","2","2","2","5","1","4","5"
